Q9BPZ3 P08574
P55209 Q8NEY3
Q9BXW9 Q07864
O60504 Q9UJC3
Q96GF1 Q9UQL6
Q6P1L8 Q12899
Q9UKW6 P19174
P36507 P43307
Q8NEN9 Q9NVR2
Q9BR61 Q9Y5X1
Q99959 P04792
O14818 P19174
Q92575 Q96DI7
Q9UL46 Q8IXJ9
P46459 O75052
Q96SN8 Q6PKG0
Q16543 Q16513
Q92802 Q12986
Q96ST8 O15294
P04629 Q5VSY0
Q92828 Q9NYP9
P00540 P40939
Q9Y570 O75694
Q13480 P11498
P22314 Q2TAC2
Q9BXJ9 Q9Y2H2
Q96M89 Q05086
Q14289 Q13825
O43175 Q13620
O75344 Q12873
P49406 Q9H5N1
Q9NRD5 A0FGR8
Q16576 P36957
P16435 Q92900
O00161 O75052
P35222 Q9UM82
Q86UX6 Q96AC1
Q8WYA0 Q02241
P56945 Q9UK22
P37198 Q9BQ52
Q6PJT7 Q12929
Q9UIF3 Q9NYB9
O15524 Q9P258
Q15751 Q96EQ8
P02545 Q8TDR4
Q99961 Q8TER5
P08559 Q9ULD6
Q8IYB5 P13639
Q5VT25 Q9Y4J8
Q7Z6J0 P28324
P12956 Q86V48
P08559 P42345
Q15058 Q6ZNL6
O95208 Q9UPQ9
P07910 Q9BW91
Q9UJC3 Q9Y2J4
Q92900 Q7Z3B4
Q9Y3D8 Q96DI7
Q5VT52 Q9BVK6
Q8WXK4 P19838
Q9BVG8 P60606
Q9NWF9 Q8TEW0
P09874 Q99640
Q92900 Q9UKV3
Q9HB19 P07910
O94925 Q96B97
O95817 O15061
Q96CV9 Q96MT8
Q53EL6 Q3SX64
Q08170 B1AK53
O14745 P20936
Q6UVJ0 Q8WVD3
Q6ZW31 Q00610
Q9HCF6 Q9H4P4
Q9BVA0 O00443
Q6ZW49 Q5QP82
Q6PKG0 Q96PU5
P30622 Q6IQ23
Q08379 P15924
Q7L0Q8 Q96BD5
Q9H4M7 P08581
Q00987 Q02410
Q96F07 Q00987
Q8TBK6 Q9UHD8
Q13033 Q9Y2H2
Q96EP0 Q86Y82
Q6ZMZ3 Q13163
Q96A44 Q13114
O00628 Q96LZ7
P09874 Q7Z2W9
Q8WUA4 P57078
Q9UNE7 Q9BV73
Q5T2W1 Q5VU43
Q9GZT8 Q13469
P41279 Q2NKX8
Q9P2A4 Q9GZL7
Q99471 Q14258
Q14203 O95159
Q5VZE5 O95235
O43255 Q9UKN8
Q9H8V3 P05455
Q05682 Q9UII2
O00203 P15924
O75914 Q9H7D7
Q13084 Q13064
P18074 O14746
Q9P031 P78318
Q69YN4 Q709F0
O60610 P10721
P00540 O94972
P15056 P53350
Q9Y2L1 Q9UJU6
O00161 P51617
Q14676 Q6A163
Q9NX70 P49840
O15042 Q16864
P46108 P54105
O60645 Q69YN4
Q86U90 P09874
P42226 O95503
P98170 P35240
Q13751 Q8N122
Q13435 Q86TW2
Q9BSV6 Q9Y5B9
Q9NUW8 Q8N960
Q9UHX1 Q9NWB1
Q5TBK1 Q6RFH5
Q7Z6Z7 Q15773
Q9H5N1 Q9BXF6
O60313 Q9Y6G9
P62258 P23508
P14866 Q6ZU80
Q15029 Q96CW5
P51149 Q05519
P49591 O15357
O60244 Q9UNQ0
Q13064 Q15058
Q12933 Q9H000
Q49AR2 Q9NZ56
O15360 Q96AX1
O75914 P00540
O75934 Q5T4F4
Q9UNE7 Q9NPJ6
O43318 Q9BWG6
Q9Y4P3 O95714
P46937 Q8WV24
Q9Y3M2 O60313
Q8N3E9 Q86UK5
O94875 P31943
Q15628 P45973
Q15393 P56537
P11274 Q13535
Q5T9A4 P46459
P46937 Q15007
Q13873 P78314
P62913 P62308
O95782 Q9UPA5
Q8NG11 Q00610
Q9BXM7 Q92802
Q6PKG0 P35712
P55884 P53350
Q9Y5B9 O95361
Q15025 P52209
Q96CN9 P11413
P21860 O43281
P12956 P07948
O75865 Q9HCE7
P62316 Q676U5
Q9Y3D9 Q12899
P40926 Q9HCH0
P14866 P07948
P46937 O75496
P04629 Q14CB8
Q9NWX5 Q92624
P51957 Q14596
P57078 Q9NXI6
P42345 Q8IXI2
P18074 Q8WUM4
Q3KP44 P30085
Q96BY6 Q92974
Q13616 Q86VM9
Q86TS9 Q9UNE7
A4D1E9 Q86UY6
Q9Y2Z4 O95751
Q9UGN5 Q96D71
P04629 O14733
P25205 P26378
Q9BX84 Q96GE4
Q6ZS30 P33993
Q7Z2W4 Q9NWB1
Q86TL0 Q86TB9
Q96QZ7 P26651
Q9H000 Q8WVM8
Q05048 Q13263
P40925 P19174
O15116 O94992
Q6PJT7 Q6VMQ6
P52948 P28288
Q9H8Y8 Q63HQ0
Q92973 P61221
Q13263 P23497
A8MTA8 P02545
P27816 Q8NEZ3
P52272 O95347
P04629 Q4G0X9
P60468 P02549
Q6NTF9 Q9NWT1
Q9GZT8 O43824
O00221 P43405
P62826 O75150
Q92614 O60333
Q16659 Q8WYA0
Q9UL15 Q6PKG0
Q16543 O60701
Q05397 O14773
O75771 Q13618
P49736 Q9BX66
Q8NCB2 Q9UKT4
Q96R06 Q9P2D0
Q92630 Q9NRI5
Q08170 O76094
Q9H3S7 Q92538
O95835 Q5C9Z4
Q96R06 P52926
P51957 P20936
Q75N03 O94915
Q13616 Q9NX70
Q7Z404 P81274
Q9NZJ5 Q9NVF7
Q9UN86 O43482
P03950 P08559
O14733 Q8TD31
Q8N5U6 Q12849
P05165 Q8WXH2
Q9H078 Q14444
P78362 Q8NBJ4
Q9HCM3 Q6PKG0
Q08379 Q6P2C8
O76064 P22314
Q86YV0 Q96LB3
Q13610 P56537
Q9BWW4 O60645
O15066 P62995
P43307 Q14168
Q9NPJ6 Q96PU5
P09874 P42704
Q16543 O15047
Q8TCJ0 Q92667
P08581 A7KAX9
Q9HCD6 Q9NV06
O95714 O95249
O75145 P48444
P61978 Q13322
Q96CA5 Q15311
P25787 P42696
Q9UBN7 Q14134
Q16531 P23497
Q9H1P6 P51957
P46940 P09874
Q13148 P34925
Q86Y82 P55209
Q15393 Q15831
O43795 Q9H8Y8
Q96MT8 Q02241
Q9BWF2 Q9NWT1
Q66GS9 Q8TDR0
Q96K80 Q9H9F9
O75934 Q9H000
Q14847 Q3MHD2
P35227 Q9Y5K6
O95817 O14976
Q9UPR3 O60716
Q9UPZ3 Q07065
Q8WWI1 Q2NL82
Q96JH7 O75146
P62826 Q8WU90
Q12797 Q14690
P40926 Q14203
O43379 Q71RC2
Q9BYV6 Q8IYI6
Q9BRX9 B2RC85
Q9H4M7 Q9NP66
Q12929 Q15276
P52272 P08574
Q15154 P55072
Q9NVK5 Q07666
Q9Y2T2 P48023
O14964 P26368
P51572 P07196
Q14194 Q8WTW4
Q8N5R6 Q14008
Q86TB9 Q9H074
O75477 Q9UJX5
O14543 Q86VM9
P49721 O95235
Q69YN4 Q9HCN4
Q9H4B6 Q8NBJ4
Q9BSW7 Q8NC42
P55072 Q14807
Q9BWW4 P19338
O00559 Q8IYQ7
O94992 Q9NW64
P43405 Q7Z4H7
Q13480 Q9H0M0
Q01105 O76094
P53355 O76071
P30260 P25098
Q9NPE2 Q9NP66
Q9NQW6 Q9BYE7
Q9P2S5 Q96JP2
P98179 Q9NPJ6
O60333 P35222
Q7Z2K8 P49736
Q8TAD8 Q9UQE7
Q9Y6M9 O43660
Q9BRS2 O14727
Q9NPF5 P38432
Q9H8V3 Q8WVD3
O95817 Q96EH3
Q9NRI5 Q9UJZ1
Q6P2C8 Q02241
Q7Z7L1 Q9ULZ2
Q15811 P40763
Q9H1I8 O95817
Q96QC0 P17931
Q14254 Q8N1B4
Q9Y572 O95235
Q14137 Q8N8X9
Q96T58 Q07666
O95816 O14818
Q07666 Q562E7
Q92888 P35527
Q8N9T8 O00559
P55209 P25054
O00231 Q8IX90
P78362 O15315
Q9H0W8 Q3B820
Q969H0 Q9UNQ0
Q96KS9 Q15058
P68400 Q5TCY1
O15116 O94885
Q6SZW1 P14866
Q12959 Q9H4M7
Q8TAT6 Q96G01
P50570 O75031
Q96RF0 Q5T9A4
Q9H773 O14576
Q8N2Y8 Q9HB71
P36507 Q9Y608
Q14678 Q8WV28
Q9BQA1 Q8TBB1
Q16864 Q9NZZ3
P61964 P40939
O14979 O43463
P62314 Q8IYE0
P23246 O75127
Q8IY31 P78362
O43566 Q99623
Q9Y2A7 Q6E0U4
Q9UPM8 Q13625
Q5QP82 P58340
Q4G0J3 P49257
Q9NQZ2 O94972
P13639 O60269
P05387 Q9NTJ3
Q8IZ69 O14578
Q9NQS7 P31943
Q05655 Q9Y6A5
P29597 Q9ULD2
P14866 Q66LE6
Q9UHX1 P13639
Q9Y4G6 Q13435
P50548 Q14318
Q96CW5 P12956
P19174 P55884
Q9BXF9 Q9Y2T2
P14866 Q9UK00
P08708 P00558
Q96L91 Q8WXE9
Q3SXY8 O96019
Q9BVC6 Q9UJW0
Q9GZR2 Q71RC2
Q96HU1 O60341
P49756 Q7Z406
Q8IXM3 Q8NFZ5
Q8TEH3 Q14194
O96017 P35658
Q15811 P62913
P51957 P10515
Q9GZS0 A6NEM1
Q9Y4B4 O15294
P33993 Q02218
Q16531 P05187
Q9NQL2 Q01844
P01375 O15440
Q9NVC6 P61978
Q13835 Q96CW1
Q9BWW4 O43765
Q9BYB0 Q08426
Q86XL3 Q9BZF3
Q9UBN7 Q9UM54
O94827 Q9H422
Q13972 Q6ZU80
Q14254 Q8N8E3
Q15363 Q5S007
Q5VU43 Q96JB5
P38398 Q9H0A6
Q96A33 Q13620
Q9Y4C1 O15392
P32971 P35222
Q969S8 Q14258
P42858 P57078
Q92945 Q53GL0
Q9BYZ6 Q9Y4W6
Q8TES7 Q13751
Q5TZA2 Q9NV58
Q07157 Q9P107
Q14676 Q04323
Q8WVL7 Q9NR46
O43752 Q8TEB1
P46934 Q99471
Q14457 Q8N488
Q99607 O60508
P29590 Q8NEY1
Q9H6S0 Q08945
O95359 Q9Y4P8
O75954 Q99471
Q99959 Q9NYG5
Q12788 Q13114
P18615 Q86W54
P35052 Q8TBC4
Q14134 O94964
Q9NQL9 Q6PJI9
Q5VZ89 O75175
Q9UGY1 P55209
P54252 O75477
Q969H0 Q8IWT3
Q9NP79 O00295
O75716 Q13617
Q9P2D0 Q99741
Q16082 Q7L0Q8
Q2M1P5 O95140
P78537 Q96M86
O43264 Q9ULT8
Q6PCD5 O94763
P46940 Q96A37
O00322 Q9BTE6
Q15058 Q8IZL9
Q92625 Q9UH99
O95295 Q96QF0
Q8N9I9 P62753
Q9H4M7 Q14134
Q9BZF1 Q9NW64
Q14674 P31948
P46937 P51570
Q9BZD4 Q13233
Q32P41 Q00341
Q7Z465 Q8N488
Q9GZY8 Q9Y5X1
P49792 Q6PD62
Q16204 Q96RQ1
P28370 Q8NE71
Q8NFZ5 Q969H0
Q9C0J8 Q92817
O00257 Q86UY6
Q99607 Q92625
Q9NX20 P51149
O75031 Q69YN4
Q08AD1 P78317
O15294 Q8IZE3
P13639 O95758
Q14289 Q8WYA0
Q6PID6 Q92870
Q12933 O43684
P53667 Q96EK5
O75533 P41252
Q9UK99 Q9Y295
Q9NRI5 P25205
Q00534 Q9NP81
Q8WVZ1 Q5JPI3
O15213 P36406
O14512 Q9NV35
P01241 Q96E11
Q9H792 P13639
P52272 Q9BRX9
O75175 P35658
O43175 Q9C0C2
Q96BD8 Q5THJ4
Q9NRC6 P33991
P57740 Q6PL24
P04843 P30679
Q8WX92 P46459
O75600 Q13526
Q8N5F7 P46199
Q9Y4F3 Q8TEW0
Q9Y5J1 Q6ZW49
Q96DR7 P20936
Q9NPJ6 Q9NUW8
O43172 Q9UJX2
O75694 P62753
Q75N03 Q9BSK4
P46940 Q9HAQ2
P98082 Q9H3P7
Q14566 Q7Z3T8
Q00987 Q9NVK5
Q96GF1 Q15029
O43166 Q92599
O00257 Q9Y2S2
Q13618 Q13596
P31943 Q9Y4F3
P50402 Q13064
Q9H000 P26232
Q9GZS0 P46940
P04629 Q7L2Z9
O43663 O95140
Q13263 Q9Y2W2
Q99623 P49754
Q8WU20 Q01844
O95758 P62316
O43752 Q96RU3
O43172 P50897
Q8WVV4 Q13033
P02768 Q9Y2X7
Q9BXW9 Q8IV38
Q9NVN8 Q9H792
O75934 O76094
Q99683 Q01804
P28072 Q9C0E8
Q9BRL6 P46100
O95376 Q9P0P0
Q02241 Q6PJI9
O95359 O43353
P46108 Q14690
Q9P2N5 Q9NWX5
P04629 Q96RQ1
Q14194 O43292
O14578 Q00653
P46934 Q9H074
Q9H078 Q9HCE1
Q9H8V3 O75140
Q9H5K3 Q8TC05
Q8NEY4 O15169
Q9H000 Q3B820
Q6DT37 Q08AD1
Q7Z5K2 P07910
P10515 Q9BXW9
Q9UKE5 Q13469
P42229 O14641
Q13393 Q9GZT8
P53804 P16435
P14866 Q8IU81
P48047 P47756
P19525 Q13148
O43809 P33993
Q9BW83 P20963
O95376 Q9C029
Q13233 O95429
P35606 Q13526
O43508 Q14258
P0DPB3 O95544
P78344 Q14019
P26368 O95858
Q13620 Q00610
Q9BQG0 Q9NVW2
O94906 Q96AJ1
Q9P0K7 O14579
O95714 P61289
Q6IQ23 Q9Y282
Q16610 Q13469
P30622 P52306
Q9UG01 P46937
P25963 Q676U5
P11801 Q96SN8
O15294 Q8WYQ5
Q99436 Q5T0U0
Q92615 O43752
P49756 Q86SQ7
Q96LP2 P23942
O15020 O14910
Q14444 P42684
Q9H0A6 O75694
P23246 Q9ULH1
Q86XR8 Q14596
Q9C0J8 Q5THJ4
Q92783 Q9P253
P0C1Z6 Q13515
Q71F23 P49736
Q16880 O15294
Q01804 Q9BZL4
Q96RP9 P61201
Q96PU8 Q9BVQ7
Q96CV9 Q15287
Q13536 Q9Y4K3
Q9BUL8 Q9H2G2
P51617 P35222
P01375 Q8IU60
Q9BZJ0 P21359
Q5T5U3 O75344
Q9Y2L1 Q13976
P15036 Q8TBK6
Q96EP5 P14373
Q96RL7 Q17RY0
P46937 Q9NRF2
Q9BVC4 P55345
Q5TH69 Q13617
Q7L5Y9 Q9Y6G9
Q14974 Q969S9
Q15723 P42566
O60313 O75530
Q8TAF3 Q96BP3
Q9NYF5 Q6PKG0
Q9Y275 O96019
P23497 Q9NZ56
Q9UK22 P31350
Q9HCU5 Q9NZJ0
Q9Y4Z0 O14745
P61221 P02656
Q9UQB8 Q96G01
P17980 P56537
Q8N6M8 Q14527
Q9UKN8 Q01804
Q14258 Q15669
Q9Y4K3 Q5S007
Q7Z333 Q15714
P23508 Q14847
Q5JTZ9 Q86VM9
Q96F07 Q9P0L0
P35240 Q9HB65
O94887 Q8NBU5
Q9NX07 O00330
P16157 P20290
P25205 Q86UY6
P13995 P50402
Q96A33 Q9BTX1
Q15061 P43307
Q9NPF5 Q16513
Q70J99 Q15831
Q6DT37 Q9UGI0
O14578 Q9Y3F4
Q9BTE6 Q15269
O43379 P62826
Q9NRA8 P55209
Q9Y2Z4 Q86VP1
Q9Y4W6 Q99417
Q9NYY1 Q96QF0
Q68CZ1 P62306
Q8WU79 Q92805
Q86UX6 Q9BQG0
P31943 O75477
Q8N6H7 Q8N0S2
Q8NFZ5 Q14155
Q13263 Q15645
Q9UBF8 Q96B97
Q9BW83 Q14142
Q8IXM3 O95235
O14556 O75716
P19838 Q96JH8
Q13535 Q9NPE2
Q9Y608 Q8WW59
P62310 Q9UDY2
P51572 P13639
Q96QZ7 Q3B820
P35713 Q3SY00
Q15029 Q15276
P34947 Q92538
Q8WXW3 Q05086
P20936 Q9BXM7
P19338 Q15154
P31943 Q0D2I5
Q504U0 Q8NHG7
Q8WVZ1 Q8WWN8
O15116 Q676U5
Q7Z699 Q13148
P49756 Q14318
Q4VCS5 P17948
P49756 Q9NNW5
Q9BXW9 O43196
Q9UHA4 P51955
Q13620 Q00688
P19174 Q4VCS5
Q7KZ85 Q15393
P20290 Q8NI36
O14556 Q9UJU6
Q9NPJ6 Q9P2D0
Q7Z7G2 Q96R06
Q96EP0 Q99996
Q9H488 Q9NS87
Q99614 O14818
Q9HB71 Q13011
P62753 Q70UQ0
Q96CW1 P25705
P78362 O00499
Q9UNE7 Q92947
P52272 P11498
Q5SY16 Q8WWI1
Q9H4M7 Q9Y6R9
Q14498 Q8IWT3
P19838 Q13263
P42694 Q15427
P98179 Q8N6Y0
Q8N5H7 O94763
Q5JRX3 Q9BQA1
P50995 Q14254
O94763 O43557
Q9UBW8 Q99996
P52306 P49790
P25054 Q504Q3
Q9GZL7 P01375
Q9UH99 P78362
Q92567 Q15393
P02100 Q13618
Q9H0E2 Q9NUQ8
Q8NI35 Q13823
P11182 O94992
Q14258 Q86UA1
Q13526 Q8TF72
Q9UPQ9 P52815
Q969G3 Q8WU20
Q9HAU5 Q9BY27
O43166 Q86XJ1
Q96SN8 Q8N1B4
O00541 Q9NPJ6
P61962 Q14457
O00267 Q92538
P78527 Q86TB9
Q69YN4 Q8WUY9
Q69YN4 Q8WW24
Q9NPF8 O60313
O95751 Q13459
Q03933 Q8WYP5
Q9H0A0 Q676U5
P57105 P68400
P02768 Q9NQW6
Q8TED0 P02008
O43663 Q9Y613
P78318 P25786
P62316 O60493
O95429 Q9NRC6
P46108 Q9Y297
Q8N5R6 Q9H5K3
Q6PKG0 Q8TEX9
Q8TF42 Q8N488
Q9HBD1 Q495M9
Q9UBF6 O94763
Q96PC5 P37198
Q8N1B4 P07332
P61421 Q9ULT8
Q12981 Q9Y4C8
Q5VST9 Q6P2H3
Q8NEM0 O15294
P11177 Q7Z2W4
Q6UVJ0 Q15811
Q7Z6Z7 P47874
Q2KHN1 Q9H0H5
Q6ZW31 P78362
Q8TBF4 P01375
Q9UKT8 Q9H8V3
P38398 P07919
P78317 O95990
Q8WXH0 O94763
Q9Y3T9 O43924
Q58A44 O95405
Q9NRI5 Q12899
Q69YN4 Q15050
Q01844 Q32MZ4
O94992 Q14676
Q8TBB1 O60869
Q69YN4 Q6ZU52
Q69YN4 Q9BTE6
P29965 P22314
O15294 Q8TES7
Q9P2B4 O94986
Q69YN4 O95396
Q9H4P4 Q16531
Q5JTH9 P38398
P29590 P58107
Q15291 P51617
O75533 Q9NRI5
Q9BY77 Q49A88
Q9NVC6 Q96SN8
Q9UPQ4 Q9Y580
Q9GZM8 P50150
Q8NC42 O75582
P35222 P38606
Q709C8 Q9UM54
O95714 P13693
Q15006 Q14134
Q9Y4J8 Q9BTE0
Q9UNH7 Q8TF76
Q14254 P48736
P53999 Q9UPQ9
Q2M329 P52948
Q9NVK5 Q9HCE1
Q8WVV9 P83731
Q9UHA4 P05783
P57075 Q2KHN1
Q8TEW0 P61964
Q8WXH0 Q9H0E2
Q00987 P06213
O43933 O15260
Q9BWG6 Q9GZS1
O75771 P49736
P59780 Q96G01
Q9UMZ2 Q92945
Q9BXW9 P52948
Q86UY6 Q9BYE7
P51532 Q9BQG1
Q14764 Q9BYM8
Q15758 O14936
Q8N4C7 P04792
P40939 Q9NUJ1
O60508 Q9BZH6
P14866 Q14669
Q86Y82 Q5BJF6
Q9UGI0 Q9UIM3
Q92574 P13569
Q9UII2 Q86UK5
Q15058 P10721
Q13501 P98179
P26378 P51991
Q04323 P50402
Q96B18 P83436
O75530 O96019
Q01484 P42684
P20962 Q567U6
Q9UJX3 Q969X5
Q96CN9 Q9H0M0
O75570 Q9H4M7
Q9Y5B9 Q9BVK6
Q9BX66 Q53GL0
P35222 O94986
Q5T8D3 Q69YN4
O94972 Q96H55
Q14142 Q9BV73
Q9HCS7 P25705
O60293 Q9BXL6
P41743 O94972
Q6PJI9 P14174
Q7Z5L9 P46199
Q15746 Q38SD2
Q9BRK4 Q9NZJ5
Q13637 P02545
O96019 O43663
P07196 Q9Y230
O95817 P36402
P19338 Q96MH7
P09874 Q9HCJ0
Q9BYN0 O60674
O15078 Q8NFZ5
Q5M775 P04792
Q9Y5X1 Q9BZV1
Q92614 Q7Z2K8
O00499 P61201
P57740 Q14137
Q08379 O95347
Q9HD67 Q8N3P4
Q9Y2X0 P23434
Q13769 Q5U5Q3
Q9NZQ3 O14974
Q8IYP9 P35638
Q96QG7 Q9H267
Q9UER7 Q8TAD8
Q96MY7 Q8WYA0
O95376 P53367
Q15291 P83731
P49257 Q9BYN0
Q8NCE0 P04843
Q08170 Q9BRA0
O43166 Q9GZS1
Q12955 Q9Y285
Q8IXT5 Q8N122
Q6P2C8 P52926
Q5T5P2 Q9BY44
Q16630 Q86XP1
Q8N960 Q96AX1
Q05682 Q13554
Q12981 O14949
Q14498 P06213
P34947 Q96T52
Q9P253 Q14289
Q86UE8 Q14690
Q9UPQ9 Q96AQ6
Q6RFH5 Q7Z3B4
P11182 Q9GZS3
Q53S33 Q02241
Q9BVG8 Q96FS4
P48023 P42858
Q9P0V3 Q6IQ26
Q5S007 Q7Z7L1
O75558 Q15118
Q76FK4 Q969S9
A9Z1Z3 Q96MT8
O43663 P53779
Q92630 Q96D46
Q15058 Q68G75
O94992 P11308
O60237 Q16832
P51813 Q12788
Q96PK6 P49721
Q8NDV7 Q96AX1
P07948 O15260
Q14671 Q8N983
Q8TD31 O95714
Q9BSI4 Q9UBF8
O94842 O60895
O95721 P35222
P25786 O95208
Q9NX47 P04792
Q9HCD5 P60900
P35222 Q9H583
Q96MT8 Q9Y4A5
P41743 P25054
P31937 Q5S007
O75179 O14578
Q96T58 Q6ZNL6
Q9GZR2 Q8WXH0
Q8NC42 O96008
Q9Y6R4 Q16531
P20618 O00471
Q8WX92 P09874
P57679 Q13418
P19419 P52630
P20963 P60033
Q5SZD1 Q9GZT6
Q14974 Q8TBE9
Q8N122 Q7Z7C8
Q14999 Q9C0F1
Q8WUF5 O95758
Q96A33 P42226
Q9NTI5 P35711
Q00341 O43752
Q99700 Q15637
P04629 O95817
P42336 Q9H6D7
P35222 Q86WV1
O60869 Q8NE31
P62304 P14868
P11177 P19174
Q9UNM6 Q8IWC1
Q8WTS6 Q6P2Q9
O00268 P42229
Q15051 Q9NZ71
Q9NS87 Q8TEW0
Q17RY0 Q9NVK5
Q9NVF7 P25054
O60641 P35222
Q08379 P08574
Q99567 Q9BYV6
Q6N021 Q12840
P24928 Q99623
P04264 Q9Y291
P46734 Q9BYV6
A7E2Y1 Q9Y3A2
Q6W2J9 Q53GS7
Q9Y3D9 Q12929
Q14974 Q9BT92
P19174 Q52M75
P62316 Q00653
Q9UQE7 Q96GF1
P46199 P50748
Q8N0Z3 P01562
Q9UBN7 P14317
Q13620 Q10567
O95373 P49761
P52815 Q99759
Q9H1E3 O43310
Q86UY6 O60293
P55209 Q9HD33
Q9HCJ0 O15530
P49756 P23246
Q14980 Q7Z7L1
Q4G0J3 Q05397
P49454 Q9UHX1
Q09019 Q14432
Q96PV0 Q8WXA9
O00444 Q9H0R4
Q676U5 Q9NSV4
Q86TG7 Q96EZ8
O95816 Q9UMS4
O00559 Q53RE8
Q86VQ0 Q8WVM8
Q6PIJ6 Q14CB8
O15155 P49790
Q9H4L7 Q4G0F5
Q5JTH9 Q9GZS0
Q9H4M7 Q9Y575
O76083 P05165
Q8N488 Q07912
P49406 Q8WVT3
Q92769 Q13435
Q16543 Q3MHD2
Q86VY4 Q9Y230
Q96L91 O95544
Q9H967 O43379
Q9Y2D8 Q05655
O75146 Q96GG9
O15078 Q96MT8
Q2M329 Q00653
Q9H0B6 P48023
Q14980 Q99675
Q9ULC8 P55072
O60333 P36776
Q8N3E9 Q9Y6M9
Q9BXW9 Q5TCZ1
Q5SQN1 Q96P48
Q92925 O14654
Q14498 Q96A19
Q8WW24 Q5VZ89
Q9NWS6 P09972
Q14254 Q86VM9
Q8NBP0 Q9NQU5
P37198 Q9NV66
Q69YN4 Q9NTX7
Q69YN4 Q9HCE7
P08559 Q9P2D3
Q8IUS5 Q9ULC3
Q9NRL3 Q86TW2
Q9BXM7 P19526
Q16630 Q9Y2R5
Q7L8J4 Q9UGI0
Q9UL15 Q9UBU8
Q9NQW6 Q9UNY4
Q9NR56 Q7L804
Q96K80 Q5HYI8
P49720 Q13137
Q14204 Q9H0K1
O15440 P38398
Q3SY00 O43639
Q99550 O60674
Q9C0C7 Q6P2Q9
Q13435 Q96RR4
P40763 Q8N442
Q96TC7 P09012
Q14289 P30566
O75616 O14939
P35222 Q9Y5B9
P06753 Q6VMQ6
Q8IUD2 P14678
P29475 P14222
Q9C0C2 Q14789
Q6IQ23 Q15058
O95714 P78362
Q15006 O14939
P55072 Q13835
Q9H147 O43151
Q14254 O43719
Q9Y6K9 Q14258
Q86UY6 Q9H6S3
Q9UK32 Q9P219
Q8IZT6 P13639
P35222 Q9H672
Q6RW13 Q9H992
P46778 O00116
P34897 Q9NR31
Q99471 P31943
P52701 Q9Y5B0
Q92466 P04629
Q9H4M7 Q8NFZ5
Q5SW79 Q12873
Q9BT25 P13995
Q13794 Q15811
Q9NXI6 Q00610
O15550 Q8IWW6
Q96TC7 P08581
P40763 Q9NPJ6
Q9H2G2 Q15464
Q02224 O75533
P13569 Q15831
P31751 P33993
O43347 Q86U42
O95714 Q4G0J3
P25789 O75494
O43414 Q9HCE7
Q9NNW5 Q8IYE0
Q9H9L4 Q71F23
Q9BZW7 Q9NYJ8
P35527 Q13523
Q5M775 Q16531
Q13137 Q9H8V3
P68400 O60313
Q9NTJ3 Q92973
Q9BZR9 P08559
Q15139 O94986
P40938 Q86UY6
Q9BVG8 Q14781
Q9BW91 Q14498
Q6P1L5 Q6P2Q9
P12755 Q9UHD2
P35527 P13686
Q12933 Q92817
Q9BXM7 Q96EK5
Q9UBT2 Q9BZF3
P01375 Q9H000
Q15287 Q12967
Q16630 Q5JTH9
P61289 Q68CZ2
Q6PJ69 Q504Q3
Q9H4M7 Q9NWB7
O15530 P09012
O94826 Q9NZQ3
Q9NTJ5 Q13009
P38398 Q86SE9
Q7Z699 P68400
Q13616 Q9UL54
Q01105 Q92734
Q9NWB7 Q9P0P0
P78527 Q9Y2R5
Q9UHF5 P04792
Q14258 O14939
O14974 O00161
Q6P4F7 P08621
P22314 Q9UBE0
O60496 Q16836
P38398 P21860
Q96FC9 Q676U5
Q15118 P18206
Q13148 O60493
P53041 Q16576
Q06945 Q96T76
O43684 Q9Y223
Q9UK00 P98174
P46937 Q13501
Q8N157 Q9NQL2
P23508 P20936
Q8N0Z3 O75083
O75896 P56537
O76071 Q9BRK4
Q9P2R7 O75494
Q9HBM1 P17152
Q13608 Q6ZMU5
Q5T7V8 P51991
P14678 Q9NNX1
Q5T9A4 Q6A163
Q52M75 O95159
Q9UJU6 O94972
Q8WXH0 Q9BUP3
Q96SU4 O95071
Q9BYT3 Q9NVJ2
Q9H2D6 Q7Z4H7
O94925 Q13724
O43399 O94992
P42773 Q08999
Q96NL6 Q6P1L5
O43557 Q86VW0
Q5JTZ9 Q8IWC1
Q15149 Q68CZ2
Q5VVH5 O94906
Q9Y6E0 Q7Z6B0
P78362 O43542
Q86TB9 Q13523
P38606 Q9HCE1
Q16630 Q9GZM8
Q00613 P40763
Q9Y388 Q69YU3
Q14151 P62191
O95714 P04629
Q13011 O75477
Q8TAD8 Q5VSY0
Q5XPI4 Q14244
P08621 Q9H081
Q4VCS5 P13639
Q9Y5X1 O60763
Q9Y2D8 Q9P2D3
O75385 O43752
P43405 O14654
Q15811 Q9H8V3
Q9BV73 Q8N3L3
O43765 Q6ZNL6
Q66GS9 P47874
Q9BST9 Q15118
Q92541 Q99623
O14578 Q9NS87
Q9BXW9 P43652
O60333 Q99549
Q9BXM7 Q5XPI4
P12004 Q9Y3F4
Q96PM5 Q9UF11
Q13823 Q9UG63
O95072 Q03468
Q96GR4 Q9H8V3
Q96H55 P78332
Q9Y580 P98082
Q5S007 P07919
P78406 Q13546
Q14999 Q9NWH9
Q8TC44 Q13191
Q96QF0 Q8WV44
Q15149 P08962
P52815 Q13546
Q15334 Q9NZN4
