P51946 P29083
P35414 Q96E22
O60885 Q9NV56
Q9C002 P49327
Q9NWT8 Q96EL2
P49450 Q03188
Q03135 Q6R327
Q9UL40 Q8NC60
O43889 P41227
P19404 Q86VK4
P0C7P0 O75306
Q9GZM5 P14416
O95600 Q9UBW7
Q13304 Q6IBW4
O43889 Q96JW4
Q8IY34 P56385
Q16342 Q9NRM2
Q14686 Q9P0U4
Q9UIH9 Q969Q0
P23396 Q9NW07
Q14145 Q8NEB9
Q01814 Q9NRP0
Q99966 Q9GZT9
Q9UIH9 Q9H582
Q15274 Q8N594
P41002 P50991
P08151 Q92499
P49450 Q9NX58
Q9NV29 Q8N1F7
Q8TAE8 Q9Y3E5
Q75WM6 Q9Y3D3
Q75WM6 Q13206
P18621 Q96GQ7
P09622 P42166
P61081 Q15084
Q9NPA3 O43741
Q9H2F3 P35610
O95711 Q16635
P62805 P47914
Q9H0U6 P18621
P53567 P55198
P49450 P13010
P18621 P39019
Q9UKX7 Q14562
Q14197 P82650
Q16619 Q99523
Q99437 P05090
Q9Y3S2 Q8IY37
P61081 P63208
O95994 P09960
O00487 Q99832
Q8TAX7 P02808
Q9BTM9 P26196
Q5JXX7 Q5JRM2
P57678 P49368
O15062 O15156
P25686 Q13404
P08173 Q6P9B9
P01308 P62266
P47929 Q9NVD3
Q96P66 Q6ICL7
Q9NUH8 P78369
P62847 Q9H2U1
Q9NUL7 O43615
Q9Y221 P05388
Q11203 Q9Y6A9
Q7KZN9 P38919
Q96ME7 P54132
P40429 Q03188
O75376 P51608
P62899 P40429
P17676 P18146
O95793 P78563
Q9Y3I1 Q8IX18
Q96FW1 Q8TA86
Q9H0C1 Q6NYC8
Q99593 O75800
Q9BSJ5 O43615
O15354 Q5T9L3
Q8N895 P54253
Q96EL3 Q9BQ15
O60885 P55265
Q8IYD8 Q8N2Z9
Q13887 P78347
Q9BV94 Q8TB61
Q86UK7 P62805
Q96D03 P41227
O60220 Q6P5X5
Q7Z2G1 Q01831
Q15047 Q969K7
Q9HB58 P19404
O60885 Q16881
O75638 Q9NXX6
O00214 P13667
Q9HAW0 P08195
O00214 Q96Q45
P01106 Q9BVJ6
P40429 Q9NX58
Q16637 P42166
Q96FW1 Q969T4
Q9C002 Q9NQE9
Q6UWN0 Q8NBK3
Q9NSC7 Q05639
Q9H0C1 Q96HA1
Q8NES3 P78371
Q8IY21 Q8WVZ9
P10620 P01282
Q9NZI7 O60756
P37108 Q15554
Q8N680 O75683
Q5JXC2 P42568
Q9BQ83 P07992
P61081 Q9Y678
P46013 Q9UFW8
Q9H0C1 Q96NU1
P18621 P59923
Q99750 Q0D2K3
P62424 P54274
P08047 Q8N680
O15446 Q96GQ7
Q12857 P61513
Q9Y6H6 Q8IZD6
O60885 Q9Y6J9
P35869 Q96DE5
Q9H2K0 Q8N0V3
Q16254 O00716
O14842 Q6IAN0
P62633 Q9BUJ2
Q8N680 Q7Z3K3
Q96MF4 Q9NXF7
P54132 P54274
Q96C86 O43290
O00398 Q03135
Q5JX71 Q9Y385
Q9GZR7 Q9NY93
Q8N6T7 Q9NVP1
O75409 Q96QU8
P09622 Q12905
A7MD48 Q8IZU0
A0JLT2 P42166
O75569 Q96MX3
Q8TBP5 Q9NVH6
Q8IY92 Q92889
Q99445 Q5T4S7
P82930 P82921
Q99788 Q01814
Q9NRC8 Q14562
P01106 P49327
Q71U36 Q8WWK9
Q9NWS0 P51610
P20309 P25116
P15172 P37275
Q8N4Q1 O60220
Q9NX36 Q9UI09
Q9UIL8 P16152
Q71U36 O43615
Q14592 Q9HBE1
P62805 Q9NZI7
Q9H1X3 P26358
P49450 P54132
P02786 O95622
Q9P0U4 P51610
Q9UL41 Q7Z2E3
P01106 P39748
Q9NRC8 P49411
Q13253 Q9NUD5
P37108 Q969Q0
O95273 P82980
Q03135 P02786
Q8IWL3 O75947
O14880 Q8NC60
O15446 Q9NR30
Q9Y4X4 Q9NVP1
O95786 P51003
O60885 Q16763
P62805 A8MT69
Q96MX3 Q2TB10
Q9NUL7 Q96EL2
P26373 Q96JP5
Q5F1R6 P05388
O43474 Q5BKZ1
Q9Y4X4 P62847
O94761 O00422
Q14507 O43286
Q8TDT2 Q69YG0
Q75WM6 P82912
P62633 Q96GQ7
P17040 P17028
Q8TDT2 P56557
O60885 P49368
Q9BSJ5 Q96EL2
Q9BYV9 Q2TBE0
Q8IV16 Q9P0J7
Q8IWZ8 Q9BQ15
P62633 P39019
P62750 Q96MU7
Q92633 O15321
O43914 Q8IV16
Q53H80 Q6ZSZ5
Q9UN42 Q07325
P14854 Q6P4A7
Q9H6K4 O75964
O75683 Q9H7E9
P62750 O00566
Q9GZR7 O60832
Q96I36 O60220
Q9Y618 Q13227
P62805 P54274
O15218 Q969M3
Q9H9D4 Q9ULU4
Q92993 P23560
P62899 Q5VWG9
Q9HCK5 P49411
O95994 P29373
Q9NX58 P62750
Q9BXP5 Q8TAX7
Q9NWS0 Q9BRJ6
O15121 Q92890
Q9BSG5 Q9NR09
Q53HV7 Q13227
Q9BXW4 Q9NT62
Q99742 Q7L7V1
Q9Y4X4 O15090
O00716 P23396
P54253 O43670
O43290 P62072
Q14CZ7 P10809
Q8IY95 P02786
Q8IV20 Q96DT7
Q9NRC8 Q12830
Q03135 Q6NXT4
Q96LL9 Q16718
Q9UBK5 Q8N335
P01106 O75223
P40145 O60503
O94761 P67870
Q92905 P82912
Q9UHK6 Q9BT73
Q15631 Q99598
O75915 P10620
Q9ULX6 Q14657
Q9NXB0 P78371
A6NCF5 P17987
Q13217 Q8NBS9
A2A3N6 Q9BYC9
P62888 P62899
Q92905 Q9NR11
Q7L5N1 P63208
Q9HCK5 P62854
P42166 O00303
Q5T686 P59991
Q9NZC7 Q14697
Q5T653 Q13405
Q9BY14 Q04609
P25440 A0JLT2
P04554 Q96SL8
P19404 P56556
Q01814 Q14534
Q96I36 O95182
Q9NQX1 Q9NQV6
Q04837 P49411
Q9UJW3 Q03060
P13284 Q14554
P62899 Q9NUD5
Q92905 Q13485
Q8TED1 O75379
P52739 P09382
Q16740 Q9Y3D3
P49450 Q9UPP1
Q9NVP1 Q9BVJ6
Q9NQE9 Q9NZI7
Q9Y3S2 Q9UJA5
P15172 Q6P1R3
Q96LL9 Q96KA5
O15446 Q9BVJ6
Q9NR30 P62750
Q16740 Q96EY8
Q9NUH8 Q5JX71
P25440 Q9UIF9
P58418 O14880
Q12905 P62854
P62805 Q14191
Q7L5N1 P01042
P40429 Q9HBE1
Q9NVM6 O95926
O60216 Q99832
P62280 P62857
Q16795 O95167
Q9NWS0 P46063
Q9UHL9 Q9BQE4
P62805 Q01658
P15172 Q9ULD9
O95445 Q8TED1
Q8N680 Q86YP4
Q9BXT2 Q8N6M3
Q8NCK7 Q16637
P15374 Q08050
Q9H6X4 Q5T9L3
P54253 P46782
P57060 Q96HC4
Q13520 Q6ZNB7
Q92845 Q04446
P54274 P30041
O00409 Q8WVZ9
P25440 O00422
Q7Z7H8 Q96EL3
A8MW92 Q9UBB5
P49407 Q15942
P29083 Q9UJX4
Q9H2F3 Q96A57
Q8TED1 P30519
Q96G42 Q9HBE1
Q96FW1 P45880
Q04837 Q9H0U6
O14880 P82921
Q9UGI8 Q9NR12
P0C5Z0 P46782
Q9NRC8 O95625
Q969Q0 Q49A26
P51553 P10809
P61244 P25490
P25116 P34981
P35244 P61313
Q96SF2 Q9NZI7
Q13061 Q8IY95
Q8WUU5 Q13330
O60885 P46013
P01106 Q15084
P39210 O43674
Q8IX18 Q13206
Q9Y483 Q86YP4
Q7Z4Q2 Q7Z2T5
P04844 Q9Y385
P32248 P78423
P05388 Q8N0S6
Q9NR55 Q96DT7
Q9NUL7 Q9BYC8
P22234 Q2TAL8
Q9UQ35 P62424
P01106 P63208
P35414 Q9ULZ1
Q7Z7M8 Q96CB8
P62805 O43290
Q96LL9 Q13520
Q92560 O60884
Q86VK4 Q16589
Q8TDZ2 Q8IXQ5
Q9Y3A0 Q9Y3D3
Q9NS73 Q9ULD9
A8MT69 Q9NPI8
P18621 Q8N567
Q8N8E2 Q9Y6K1
P55317 Q96BK5
Q8WXI9 Q9UBB5
P60002 O15514
P01308 Q9Y6J9
Q49AN0 P42166
P01100 Q14494
Q6QHK4 P15923
P61086 Q96LI6
Q96S59 P62851
Q14197 Q9Y3D5
Q9H9B4 P09669
P54253 O95411
Q13323 Q96FZ5
O43615 Q00403
Q16236 P35869
Q86UP8 Q9UHL9
Q9NRC8 Q9NYU2
Q96ER3 Q96AN5
O95600 P61513
P01308 Q53GQ0
Q99731 P02775
Q8IV31 Q16617
Q9H300 P03905
Q15562 P18847
Q14562 Q12872
Q92748 P19544
P63208 Q8NCJ5
P25105 Q9NR50
Q9GZN0 Q01814
P58418 Q8N6F1
P01106 Q13405
P0C5Z0 Q8N8A6
P49711 O14497
P00491 Q9Y296
Q96EL3 Q9Y421
P52435 P35269
Q03989 Q99732
O60216 P49327
Q13485 O95402
Q8NCK7 O75683
Q8WXX5 Q9BUJ2
Q9UQ35 P10809
Q8TCT7 P49768
O75376 Q86T24
P25490 Q14202
P51685 P02775
P15336 P30044
Q08257 Q99497
P16473 Q9Y467
Q96FI4 P23396
Q9GZM5 O75845
Q16740 P82912
P09669 P10176
O60216 P39748
Q96D03 Q5VVQ6
Q9Y5Y3 Q15800
Q8IWL3 Q9Y2G5
Q12906 Q8TDD1
P15313 Q99832
O14880 P82650
P54219 P11836
Q13127 P61313
Q8TBB6 Q9HD20
Q93052 Q32P28
Q5T6F2 Q3V5L5
Q99459 Q08211
Q08257 P56556
O95600 Q9Y6Q9
Q9Y5T4 Q9BSJ5
Q9NRC8 P48643
Q9Y3B2 Q99547
Q9UHK0 P37840
Q9H0W5 P05026
P59991 Q9C086
Q9UIF8 Q96BR9
P60002 P30876
Q9NZC7 O60884
Q8IWL3 Q8TED1
P18621 Q6ZN55
Q13952 Q4LE39
Q99523 P51659
Q8IWL3 Q15005
Q96I36 P00403
Q9UPC5 O43674
Q9Y3S2 Q13206
P23396 Q9UEG4
Q96FJ0 Q9BQ95
Q96DE5 Q9UJX6
P01100 Q99856
Q15022 Q13330
Q8WXX5 Q96GQ7
Q8TDT2 P02808
Q8TAD7 Q96C23
Q08257 Q9Y3D3
O95793 Q9H1A4
P62750 Q9H116
P61313 O14628
P01308 Q8NBS9
O00214 P51798
Q96E52 Q9Y5L4
Q6ZN18 P47929
Q9GZR7 P61313
Q08257 Q96EY8
Q9NR12 Q9C0C9
Q8IZD6 Q92890
Q96S59 Q99497
Q8WUU4 Q8IXM2
Q96C55 Q8NAF0
A2A3N6 Q6AHZ1
P34969 P62805
Q9H0W5 O14639
P51610 P25490
P62847 Q99460
Q12857 Q9Y618
O60885 P23025
Q8N6G5 Q6IA69
Q5VW38 Q9NR77
P05026 Q99805
Q8IY92 P51610
Q96KM6 Q12830
Q9NXR8 Q9H2F5
P35244 Q92841
P82930 Q6IQ21
P55786 Q969S3
Q9BQA5 Q08211
O15235 O43615
Q9NWT8 Q7Z7H8
O00214 P55011
O00526 Q9UI26
Q92785 P07305
Q8IV31 O95183
P46098 Q8TCT6
P01106 Q49A26
Q9UBK5 P57678
Q9Y6H6 Q96HA1
Q9ULX6 Q13227
O60682 Q99081
Q9P0M6 P05388
Q32P28 O60925
Q9HCK5 P48643
P62072 Q9UBC9
Q11206 Q96EU7
Q9H1Y0 Q01469
O75081 Q86T24
Q9ULX9 Q16236
P30408 Q71U36
Q9Y2X9 Q9H582
Q16795 O95139
P49450 Q9NPI1
Q9NWS0 P30041
P18621 Q13405
P62888 Q49A26
O95994 P05090
P15374 O00488
P61313 Q9C0C9
P46013 Q15554
Q12952 Q9NRL2
O00303 Q14119
O43927 P49682
Q9UKR5 Q9NRX3
Q9Y4X4 Q9BRJ6
Q9GZT5 P16035
Q13642 O75398
P15923 Q96SQ7
P35244 Q9BVW5
O75475 P18583
Q9NRE2 Q13330
O75190 O43615
P54253 Q03060
P23769 O95785
O00303 Q8N3C0
P25490 Q9NS73
Q96Q45 O15374
Q9H2F3 P0CG08
Q8IX18 Q92766
Q8N895 Q96M94
O75478 Q9H8E8
Q9Y3I1 Q53H80
Q9UL40 Q6IQ21
Q6S9Z5 Q9BTE3
Q9Y4R7 P78371
Q13485 P57738
Q52LG2 P41182
P09622 P38117
Q9BZE0 Q9Y5B8
Q96LL9 Q8IXB1
P62805 Q9BTP7
Q96FW1 Q8TDD1
Q9UJQ4 Q9UBB5
O14867 Q9NS37
P08173 Q9H3S5
Q12906 P62854
Q96IQ9 Q3V5L5
Q96LY2 P40692
Q9NPQ8 Q9BTE1
Q96HE9 Q96DV4
Q6R327 P26373
Q7L2E3 O75306
Q8N5A5 O95273
O94761 P49411
O43290 Q9NY93
Q96FW1 P30044
Q99742 Q9Y3I1
P04053 Q04864
Q16762 P61081
Q9BX68 Q9H0U6
O75394 Q16540
Q8TBC5 P17028
P17676 P49715
Q14919 P37275
P82930 Q9Y3D5
Q7Z602 P51636
P61073 O75907
P30519 Q6IE81
Q92905 Q7Z5J1
O60885 P39019
P61081 P16152
Q13520 Q8N8Q1
Q92185 Q9UBW7
Q9Y5T4 Q13405
P46013 Q969Q0
Q99750 P25490
P30876 O75586
Q8NI32 Q9P0J7
O15446 Q9UPW5
Q9UBK5 P54707
Q08AG7 Q08380
Q49AN0 O15055
Q9NZ42 O43889
Q92583 P13501
Q7KZN9 Q13423
Q7Z769 Q13323
P01106 P08047
Q92833 Q15022
Q96LL9 Q969V3
P08047 P42766
Q96Q45 Q69YG0
Q9NPI1 Q8TDD1
P37108 O75170
Q92793 P37275
O00626 P02775
Q6NUQ1 Q9NRE2
P01034 P54253
Q8TBP5 Q9H0R3
P23396 P59923
O94761 P62854
O15235 Q96EL2
Q6ZRP7 Q9Y6K0
Q86VW1 Q8NE00
O15372 Q8N3C0
P42568 P21246
Q8TDT2 P23560
P01106 O43396
O75792 Q8N9M1
P41002 P47914
Q14973 Q9NWH2
Q14CZ7 P82932
P21754 Q9Y3D3
P27540 P49023
P22352 Q53FA7
Q9UGI8 Q9BUJ2
Q8IZ57 P16152
Q96ER3 Q6L9W6
P18621 Q49A26
O15353 Q9NZI7
Q9Y5P2 Q92499
O94761 Q9H0U6
P61247 Q9H7E9
Q7KZN9 P82930
Q8NCR9 Q96MW1
Q9BYV9 Q6IPU0
Q9P0M6 Q9Y221
Q92793 Q9Y4E5
Q9Y4R7 Q9UHR6
Q8WX39 Q14554
Q8NCK7 Q9Y2G8
Q16342 Q9NQV6
P21246 O14530
Q9H0R8 P63241
Q13404 Q9C0C9
P01275 Q9UL63
Q96MF4 Q96K58
P27469 Q9Y6Y8
Q8IX18 Q9H8H2
A2A3N6 Q96C00
O95793 Q9C0C9
Q9H1X3 O15498
Q08211 Q12905
O60885 O75940
P23769 Q99856
Q9Y2K1 Q92993
O00746 P49327
Q75WM6 Q9NR30
Q9BY14 P00390
Q8WXX5 Q9BVJ6
Q9Y4X4 Q96QT6
P62750 P63220
Q9NVM6 P37108
Q6NUN9 Q9UDV7
Q5T7W0 Q6W0C5
O15218 Q9BVG9
P62805 O15516
Q9P0K8 Q96RE7
P49788 Q96DT7
Q9NZF1 O95183
P42166 Q92841
A8MW92 O15014
Q9NPD7 Q15005
Q5T686 Q0D2K3
Q9BY14 Q8N6Q3
Q96IW7 Q96D03
Q13304 Q9UJP4
Q86UZ6 Q8WXI9
P30556 P16152
Q9HBJ0 O95619
Q9Y5Y3 Q71U36
Q92905 P39019
O95994 P30044
Q92905 Q8N961
Q13127 P62424
P02786 Q6XR72
Q14493 P63208
Q8N511 P27449
Q9BZQ6 P30040
Q9BYV9 P15336
Q96EL3 P68036
Q9P2R6 Q9ULD9
Q8NDY6 Q02383
Q9Y3E0 O14880
P36954 O75586
Q9NWS8 Q92665
Q9UIH9 O95793
P40429 Q7Z2T5
Q9NVP1 Q49A26
Q12905 Q1KMD3
Q9UIH9 Q7L2E3
Q16650 P54253
Q8IZU1 P42568
Q9C009 Q14202
P10242 Q92560
P15172 Q8NFD5
P10070 Q08380
P35270 P30086
P55769 P62899
P62633 Q96MX3
P35414 P04920
O15304 Q2NKX9
Q92905 O00762
Q8TF50 O75379
O95365 P50991
Q9UIF9 Q01469
Q6NUN9 P42766
P13010 Q14697
P01308 P19404
P01106 P56192
Q99598 Q9NY12
Q7Z4V5 Q8NFD5
Q9NXB0 O60884
P49447 Q13323
Q9BRP0 Q8N4N3
Q7LFL8 O15198
O43889 Q9UGQ2
Q9BYV9 Q3KQV3
Q9P0K8 Q7Z3K3
O95786 Q5TAX3
P53674 Q96D03
O60885 O15446
Q14CZ7 Q99714
Q92793 Q13351
Q9Y2Q3 P28222
Q8WUU5 Q96FW1
Q9H2K0 P09001
P63279 Q9Y618
Q9ULX6 Q9BRJ6
Q99714 Q01469
Q9P0R6 Q5T749
Q14CZ7 O95182
Q9UIS9 Q96KM6
Q96N64 Q8WUU5
P15923 Q9UHI6
Q8TBP5 Q6IBW4
P0C5Z0 Q92610
Q9HC97 Q9H7F0
O75438 O96000
O96006 Q9Y221
P49411 P61513
O94761 Q7Z4Q2
Q9NXB0 Q9UPM9
P04844 Q15005
P17542 O75081
P42166 P62424
Q9H0W5 Q99832
Q9BYD6 Q7Z7H8
Q13485 P17676
P48651 P18510
P48506 Q6UWP2
P25440 P62854
Q9UKT9 Q9NPJ8
Q96K58 Q9Y2R4
Q8NCK7 Q96P70
Q9NWS0 O15514
Q9H300 P19404
P25090 Q9H6H4
Q9Y3D5 Q8IVS2
Q9NUH8 Q9Y6K0
Q96K58 Q6PK04
O95600 Q9Y618
Q99523 Q8N8A6
Q7L5N1 Q9NXE8
Q3ZAQ7 Q99437
Q7L5N1 P49642
Q9NY12 Q9NPE3
O60885 A0JLT2
O95994 Q14119
P57086 Q96JS3
Q7Z7K2 Q96ME7
P04844 Q9NW15
P61513 Q9NY12
P01308 Q9BUJ2
P15336 P48643
P35414 Q16795
Q15532 O14497
P23381 Q6P1N9
O95273 P15923
P49411 P56556
P43119 Q96FL8
A0JLT2 P51610
Q92993 P43234
Q8IWZ8 P68036
Q99966 P06307
Q7L775 Q8IX18
Q9HBX9 Q01814
Q13304 O15121
Q9NPE3 P39019
P00813 P07741
Q96DT0 Q9H7F0
Q9UQ35 P82932
O94761 Q9NYU2
Q9UKX7 Q7Z5J4
P01106 Q14146
P25440 Q12830
O14880 Q16698
Q96M98 Q99832
Q16581 O43674
P61313 Q9ULU4
Q9BUQ8 Q8IWZ8
P25398 Q96S59
Q9NRH3 Q9Y5B8
P40227 P29375
O43889 Q92905
P29375 P25791
Q99788 Q96B77
Q96GQ7 Q96KM6
Q6ZN55 P42766
Q9UKG4 Q9BZJ8
P62805 O75398
Q9H0R8 Q12905
P02775 O95715
Q12830 Q14145
P48735 Q9BX68
Q8N0Y2 Q9P2G9
P13667 Q13162
Q96HR3 Q9Y3C7
O15218 Q9NXE4
Q96LY2 O00487
Q15554 P37837
Q96HE9 P61247
P42166 Q9NXE4
Q6IE81 P47914
Q9Y6Q9 Q15596
O75379 P14854
Q9NY93 Q96EB6
P37108 O95793
P15172 Q12857
Q6NUQ1 Q05516
P26373 Q8N8A6
P41182 O75586
Q8NCK7 Q9UHI6
Q9BQ15 Q04837
Q7L5N1 Q96Q07
Q9H0W5 Q9H2P0
Q8N661 Q07326
P15173 Q8N7B6
Q9NWS0 P30876
Q9UPM9 Q99707
O14625 P49682
P62750 Q6PK04
Q96BK5 P42766
Q9BQ90 Q9BTC0
P60323 P40692
P62899 O60832
Q6NUN9 P48735
O95402 Q96HR3
A2A3N6 Q9P0M9
P86480 Q6P1W5
Q15648 Q9H944
Q9ULD4 Q8N1G0
O94761 P48643
Q9H0W5 P49327
Q9UIH9 Q9Y3D3
Q9H1X3 Q8N511
Q9P2Y4 Q8IXM2
Q9UGP8 Q9H6H4
O15239 O95167
P34969 P62280
Q96EG3 Q96C55
Q401N2 Q9BU23
O43167 O43298
Q3B8N2 O60503
P63279 P78563
Q14872 Q05639
P01100 P18848
Q96T68 Q8WWZ1
Q7KZN9 Q9H9B4
Q9Y5P2 Q9UJV9
P42166 Q9H3N1
Q9NR30 P49711
Q8N5A5 Q09161
P61081 P40227
Q8N5K1 Q8WZA1
P54274 Q01469
Q96FW1 O75190
A8MW92 Q9NS73
P01100 P56279
P24385 P49368
Q9BSJ5 Q9BYC9
Q13838 Q8NFT6
Q12952 O60315
P55317 Q9Y3B2
P51608 Q96L73
Q9NR12 Q9BWE0
P62805 Q12906
P39210 Q9BYC8
P15172 Q9UHF7
P01106 P16152
A6NI15 P47928
Q15008 O43396
P17568 Q9BX79
P49368 Q8IXV7
Q08211 Q9Y5J7
Q9UDV6 Q92785
Q9NYU2 Q9NRL2
P43119 P21731
Q13887 P85037
A2A3N6 Q5T653
Q9NQ11 Q15084
P01106 P49916
Q9Y3I1 P62280
O95427 P0CG08
Q5T3I0 P26373
Q9C002 Q13423
Q9NRC8 P62263
Q9Y2K1 Q8WWB5
P18848 Q00403
Q96Q45 P05090
Q8IX18 Q96GQ7
P32249 Q9UGP8
P28222 P00846
P62805 Q9Y2X9
Q9ULD4 Q9BRP1
P24385 Q49AG3
Q9H0U6 Q9UL63
P01106 Q16514
Q96EY1 O95182
O15055 P50990
Q5T3I0 P05388
O95402 P49848
Q16540 Q9NQ50
P0C5Z0 P61247
O60885 P45880
Q08211 P62847
P07858 Q9UBS4
Q9H1A4 O00762
Q75WM6 Q8N567
O15354 Q9H6L2
P62847 Q9GZR7
P01160 O15240
Q9H244 Q9HD45
Q8NHQ9 Q8N5A5
Q96LJ7 Q9NR28
P35372 O95968
Q9Y6E7 O75306
P46013 Q9BTC0
Q9BXT2 Q15800
Q14166 O00762
Q9Y2Q3 Q9Y678
P23396 Q6ZN55
Q99832 Q6P1N9
Q8NBB4 Q96JS3
Q9UKX7 Q8WUB8
Q9Y320 O95183
P09234 Q86XP3
Q9NWS9 Q96IT1
Q9Y5Y3 Q9Y2G8
Q9Y2Q3 P78347
P41002 Q96NU1
P26373 Q14197
O43524 Q92793
Q9BYD6 Q9BYC9
Q12952 Q04837
Q92583 Q9NR09
P01106 Q8IVS2
Q6EEV4 Q86VK4
Q92611 Q8WXI9
A8MT69 Q9BTP7
Q08380 P49368
O95994 Q9NYU2
Q13304 Q8N6M3
Q7RTM1 Q02383
Q96BK5 P30086
Q9Y320 Q9H2F3
Q16514 P21675
Q96EL3 Q96DV4
P25090 P03928
O43759 Q9NX76
Q15047 Q9NTW7
P62805 P56270
P25208 Q14919
Q15554 P25490
Q9BYS1 Q5TCM9
P62750 P42766
P62266 P23396
O15446 Q14146
P10070 Q14469
P54368 Q9Y6K0
O95786 Q15041
P37108 Q13206
P15941 Q9NPR9
Q99853 Q99856
O94761 Q96P70
Q14191 Q15554
O95786 Q9NY35
Q96FW1 Q9GZR7
O75381 Q9UPQ0
Q96JQ5 Q53GQ0
Q14657 Q9HAS0
P26373 P52746
Q5JUK2 Q9H9Y6
P62805 P36956
Q15022 P49368
Q9NR30 Q7Z2T5
Q8IXH7 Q01469
P43681 Q8IW50
Q8NCK7 O75953
Q9Y3S2 Q96GQ7
P09912 Q9BTC0
P63279 P15923
Q8IWL3 Q8WUY1
P10809 Q9HCK5
P61313 Q9UBL3
Q96IW7 Q9UBK5
P21675 P10071
O95994 P48643
Q8NAP3 P47914
Q16881 Q03135
O95711 Q8N5C7
P48643 Q13371
Q8N6T7 O15514
Q9HCE5 Q13867
Q9H0W5 Q92993
Q96IW7 P21217
Q9H112 Q9UBS3
Q4VC12 Q9NSA3
O75626 Q9Y618
Q15047 Q3YBM2
Q9UQ35 Q92499
O00585 Q53GT1
P54259 P02686
Q9ULD4 Q16236
Q9NPI1 Q9GZR7
Q14494 Q9H7E9
P35244 Q01831
P24385 P46013
P62424 Q9NY12
P23396 Q96MX3
O60885 P02786
Q99459 Q9BTC0
Q8N6T7 Q9NY93
Q96QT6 Q14494
P01308 Q9UBS4
P63208 Q9H1A4
Q86UK7 P68036
Q9BY14 O43451
Q96FI4 Q8N3Z6
Q9NU63 Q9Y6K1
P06307 Q96HR9
O75306 P82921
Q9P0R6 P17900
P08047 Q9Y618
O95274 Q92633
Q99750 P15173
Q9Y3S2 Q9NR30
P16150 Q8N1S5
Q04864 P26196
Q9GZM5 Q9BX95
P14416 P35372
O15239 O95139
Q75WM6 Q13405
Q8TCC3 Q96DV4
P01106 P82930
O95793 P48506
Q8IY95 P85037
P62805 O95201
Q92583 P32248
Q8IX18 Q9BVJ6
P37088 P51172
Q13061 O14958
Q96RE7 Q14241
P10809 Q9NVH6
P59991 Q9H9D4
P09622 Q9NRY2
O14842 P10606
P29274 Q5T9L3
Q6P1X6 O75306
Q92905 Q15084
Q5JXX7 P05090
Q9H944 Q8WWB5
P62750 P61513
Q8IWL3 Q8N4T8
P25440 Q9GZR7
Q9Y3S2 Q15022
Q8N6M0 Q8N3C0
O15235 Q7Z7H8
O15446 P49916
O95786 Q9HCE5
Q99788 Q11203
Q8IYD1 Q9NUD5
Q9Y4H4 Q8IX18
Q96N77 P25791
P41597 P02778
Q9NSC2 Q9BUZ4
Q9H0R8 P62847
Q3KNW5 Q8TDV0
Q9NZC7 P57678
Q92905 P63208
Q9Y5Y3 Q9NVH6
P62805 Q96K58
Q99523 Q8IY21
Q16635 P10809
Q13113 Q7L5N1
P51003 Q96IZ7
Q8N6T7 P30876
P53539 Q9BZS1
Q96DV4 Q13405
Q6IBW4 P05090
P54132 Q9UQ84
Q13520 Q9H2L4
O43638 Q8TAE8
P62805 Q9Y5L4
P63279 Q9Y6X0
Q9Y3S2 P55198
Q9Y2T5 Q96AA3
P15336 P50991
Q96C00 Q96RE7
P01106 Q13144
Q96S59 P24385
P55198 Q99081
P25490 O75478
P61604 P78334
Q8WWT9 Q6IQ32
P37108 P82912
Q8IY95 Q9UBR2
Q92905 P02786
Q8TED1 Q9UHJ9
Q92905 Q13405
P0C7P0 Q9Y2Q3
P61081 P23528
Q9H2K0 Q16795
Q9UI26 Q01658
Q12874 P48735
O43674 O96000
Q99814 Q15648
Q9UBB9 Q8N5A5
P80188 Q9UGP5
Q9NUL7 P19404
Q15942 Q96IJ6
P52747 Q9Y3B2
Q6IWH7 O00422
Q9UGI8 P02786
O95182 Q9UQ35
O60216 P16152
Q6W0C5 P80188
Q16795 Q96LL9
Q6EMB2 Q9NR09
O75251 P10809
P41595 Q8WUY8
Q9P0M6 Q9H8H2
P17861 Q9NS37
P22466 P23560
O15431 Q11206
Q16581 Q92633
Q9BUE6 O14867
Q9NR77 Q9H6H4
P25090 Q9P2C4
Q96BR9 Q2TBE0
P35372 Q9C0E2
Q12857 O14497
Q96FI4 Q9NRX2
A3KN83 Q9Y6Y0
Q5MJ10 Q9GZR7
O15467 O15444
O95786 Q15532
P01106 P40227
P82979 O43615
Q8IY92 Q9UDV7
Q9C002 Q9H9B4
P17098 Q8NC26
Q9BY14 P63208
Q969R5 Q99832
Q96E35 P59797
Q96I36 P38117
Q9Y3S2 Q9BVJ6
Q5JTC6 P49643
P28222 Q99750
Q8IXM2 Q9UGP8
Q5T653 Q8IZR5
P11836 Q5JXX7
O95793 Q9BXP5
Q96IT1 Q96L73
O95436 P26678
O94761 P50991
Q71U36 Q8ND83
Q86XP3 Q9NY93
P62805 Q9UQ84
Q96DE5 O95997
P54253 P15313
Q9NVH1 O15119
Q99459 Q12792
O95274 Q6ZRP7
P56856 Q8N6F1
P25440 Q9BZ95
Q14197 Q8TCC3
Q9UJV9 Q12874
O95786 Q9UJV9
Q96FW1 Q9H832
Q9BZE0 P01106
P49450 P09001
Q9NWT8 Q9Y5L4
Q9H0W5 Q49A26
Q9BUQ8 Q13428
O95600 Q9H2P0
O94761 Q96EB1
Q15911 Q5T5X7
